,State,County,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Average_House_Price
2382,Texas,Blanco County,11089,19.1,77.6,0.0,0.0,0.6,0.0,31249,10.8,33.6,18.2,21.0,16.7,10.4,77.9,8.6,0.0,3.1,1.3,9.2,27.8,66.2,16.9,16.4,0.4,5.7,302710.1441374566
2383,Texas,Bosque County,17955,17.6,78.7,1.4,0.3,0.3,0.0,25763,15.6,29.3,16.6,21.7,16.0,16.4,79.2,10.0,0.1,4.5,1.2,5.0,29.6,76.6,11.5,11.3,0.6,5.2,127208.02492580788
2384,Texas,Bowie County,93635,7.4,64.5,23.9,0.8,1.0,0.0,24761,17.9,31.9,18.8,24.0,11.2,14.2,88.6,5.9,0.3,0.9,1.8,2.5,17.9,77.7,18.1,4.2,0.0,7.3,123147.12578780674
2385,Texas,Brazoria County,345995,29.7,49.1,12.9,0.3,6.2,0.0,32343,9.9,41.7,14.0,20.2,11.2,12.8,86.3,8.9,0.2,0.8,0.9,2.8,29.8,80.5,14.6,4.9,0.1,4.9,220680.63272863507
2386,Texas,Brazos County,214231,25.1,56.7,10.2,0.1,6.0,0.0,25337,26.0,41.1,18.0,22.9,8.7,9.3,77.7,11.3,2.4,2.5,2.7,3.4,17.0,69.5,24.8,5.6,0.1,4.7,221093.71419563438
2388,Texas,Brown County,37787,21.5,72.7,3.6,0.2,0.6,0.0,24040,16.4,33.5,17.7,22.0,10.8,16.1,86.3,8.9,0.3,1.5,0.6,2.3,17.3,76.9,15.1,8.0,0.0,4.3,118127.3111370636
2389,Texas,Burleson County,17596,20.1,65.7,12.3,0.2,0.3,0.0,27112,15.1,25.6,19.3,19.1,17.2,18.9,81.6,13.5,0.3,1.1,0.8,2.6,27.4,71.9,18.5,9.3,0.4,6.7,178794.37923967466
2390,Texas,Burnet County,45017,21.9,74.1,1.5,0.6,0.7,0.0,29247,12.3,30.2,18.8,22.4,14.9,13.6,76.4,12.5,0.2,2.7,1.6,6.6,26.2,75.3,12.4,12.0,0.3,4.3,235839.7285879764
2393,Texas,Callahan County,13660,9.1,86.8,1.5,0.1,0.2,0.0,22205,15.6,24.9,15.2,24.8,18.3,16.7,84.7,8.8,0.0,0.8,0.3,5.4,22.9,72.1,16.3,10.2,1.4,3.5,130383.78301544038
2395,Texas,Camp County,12670,23.9,56.6,16.9,0.4,0.3,0.0,21069,17.4,22.5,18.0,22.4,14.3,22.7,80.7,13.7,0.4,0.1,1.4,3.6,26.0,75.1,15.0,8.9,1.0,6.1,117799.40224809351
2396,Texas,Carson County,6033,9.7,86.4,0.6,0.4,0.5,0.2,31788,6.4,37.8,9.1,24.1,17.5,11.5,86.2,10.2,0.1,0.2,0.0,3.3,19.7,71.3,20.3,8.1,0.2,1.9,114684.22073768218
